,Sitzungsnummer,Drucksache_Nummer,Titel,ThemenextraktL,ThemaVD,TitelVD,Occurrences,year,month,day,Occurrences_aktuell
229,230,29771,"Antrag der Abgeordneten Dr. Bernd Baumann, Dr. Gottfried Curio, Jochen Haug, Martin Hess, Beatrix von Storch, Dr. Christian Wirth, Marc Bernhard, Dr. Götz Frömming, Waldemar Herdt, Nicole Höchst, Stefan Keuter, Jens Maier, Tobias Matthias Peterka und der Fraktion der AfD",Ermittlung des Dunkelfeldes der durch Mitglieder der Organisierten Kriminalität  und des religiösen sowie politischen Extremismus ausgeübten Repressalien gegen Polizei- und Justizbeamte in Deutschland ,Inneres,Antwort,1.0,2021,5,20,1
232,230,29772,"Antrag der Abgeordneten Ulrich Oehme, Detlev Spangenberg, Dr Robby Schlund, Jörg Schneider, Uwe Witt, Paul Viktor Podolay, Dr. Heiko Wildberg, Jürgen Braun, Peter Felser, Nicole Höchst, Jörn König, Tobias Matthias Peterka, Dr. Dirk Spaniel und der Fraktion der AfD",Arzneimittelsicherheit stärken  Risiko-Entlastung von Patienten und Ärzten bei Off-Label-Nutzung ,Gesundheit,Antrag,3.0,2021,5,20,3
233,230,29773,"Antrag der Abgeordneten Beatrix von Storch, Marc Bernhard, Siegbert Droese, Udo Theodor Hemmelgarn, Jörn König, Dietmar Friedhoff, Nicole Höchst und der Fraktion der AfD",Schutz von Kindern und Jugendlichen mit Geschlechtsdysphorie vor geschlechtsangleichenden medizinischen Eingriffen ,Inneres | Medien,Antwort,2.0,2021,5,20,2
235,230,29774,"Antrag der Abgeordneten Detlev Spangenberg, Dr Robby Schlund, Jörg Schneider, Uwe Witt, Paul Viktor Podolay, Ulrich Oehme, Dr. Heiko Wildberg, Jürgen Braun, Siegbert Droese, Dietmar Friedhoff, Udo Theodor Hemmelgarn, Jörn König, Christoph Neumann, Nicole Höchst und der Fraktion der AfD",Gesundheit ist keine Ware  Privatisierung der Krankenhauslandschaft begrenzen ,Gesundheit,Antrag,2.0,2021,5,20,2
237,230,29775,"Antrag der Abgeordneten Dr. Bernd Baumann, Dr. Gottfried Curio, Jochen Haug, Martin Hess, Beatrix von Storch, Dr. Christian Wirth, Marc Bernhard, Peter Boehringer, Dietmar Friedhoff, Dr. Götz Frömming, Waldemar Herdt, Nicole Höchst, Stefan Keuter, Jens Maier, Tobias Matthias Peterka und der Fraktion der AfD",Ausmaß der Gefahr durch Clans zügig deutschlandweit erfassen  Bundeslagebild Clankriminalität erstellen und veröffentlichen ,Besteuerungsverfahren,Antwort,1.0,2021,5,20,1
242,230,29778,"Antrag der Abgeordneten Dr. Bernd Baumann, Dr. Gottfried Curio, Jochen Haug, Martin Hess, Dr. Christian Wirth, Beatrix von Storch, Petr Bystron, Peter Felser, Jörn König, Volker Münz, CHristoph Neumann, Jürgen Pohl, Uwe Schulz, Dr. Dirk Spaniel, Dr. Harald Weyel und der Fraktion der AfD",Islamische Radikalisierung frühzeitig erkennen  Studie zur politisch-religiösen Einstellung der Muslime in Deutschland erneuern ,Inneres | Inneres,Antwort,2.0,2021,5,20,1
240,230,29777,"Antrag der Abgeordneten Dr. Dirk Spaniel, Karsten Hilse, Andreas Bleck, Dr. Rainer Kraft, Dr. Heiko Wildberg, Marcus Bühl, Siegbert Droese, Udo Theodor Hemmelgarn, Jörn König, Jens Maier, Christoph Neumann, Nicole Höchst, Dietmar Friedhoff und der Fraktion der AfD",Synthetische Kraftstoffe als CO2-frei einstufen  Weg für einen freien Kraftstoffmarkt öffnen ,Immissionsschutz,Antrag,1.0,2021,5,20,1
243,230,29779,"Antrag der Abgeordneten Udo Theodor Hemmelgarn, Frank Magnitz, Petr Bystron, Siegbert Droese, Dr. Michael Espendiller, Dietmar Friedhoff, Mariana Iris Harder-Kühnel, Jörn König, Tobias Matthias Peterka, Martin Reichardt, Dr. Robby Schlund, Uwe Schulz und der Fraktion der AfD",Senkung der Mietnebenkosten durch Änderung der Verordnung über die verbrauchsabhängige Abrechnung der Heiz- und Warmwasserkosten und Änderung des Eichrechts ,Inneres,Antwort,1.0,2021,5,20,1
244,230,29780,"Antrag der Abgeordneten Dr. Axel Gehrke, Detlev Spangenberg, Dr. Robby Schlund, Jörg Schneider, Uwe Witt, Paul Viktor Podolay, Jürgen Braun, Ulrich Oehme, Dr. Christian Wirth, Dr. Heiko Wildberg, Marc Bernhard, Udo Theodor Hemmelgarn, Jörn König, Jens Maier, Christoph Neumann, Dietmar Friedhoff, Nicole Höchst und der Fraktion der AfD",900.000 Erkrankungen und 30.000 Tote Jahr für Jahr allein aufgrund von Krankenhausinfektionen  Mehr Schutz der Bürger vor Sepsis und Infektionen ,KEIN THEMA,Unterrichtung,2.0,2021,5,20,1
246,230,29782,"Antrag der Abgeordneten Dr. Bernd Baumann, Dr. Gottfried Curio, Martin Hess, Beatrix von Storch, Dr. Christian Wirth, Jochen Haug, Marc Bernhard, Stephan Brandner, Marcus Bühl, Siegbert Droese, Peter Felser, Nicole Höchst, Stefan Keuter, Jörn König, Ulrich Oehme, Tobias Matthias Peterka, Martin Reichardt, Uwe Schulz, Dr. Dirk Spaniel, Dietmar Friedhoff, Udo Theodor Hemmelgarn, Jens Maier, Christoph Neumann und der Fraktion der AfD",Ausschluss von extremistischen Verbänden aus der Deutschen Islamkonferenz ,Inneres | Kultur,Antrag,1.0,2021,5,20,1
247,230,29783,"Antrag der Abgeordneten Joana Cotar, Uwe Schulz, Dr. Michael Espendiller, Peter Felser, Jörn König, Ulrich Oehme, Dr. Dirk Spaniel und der Fraktion der AfD",Anreizprogramme für IT-Sicherheit bei der Bundeswehr ausbauen ,Bundeswehr,Antrag,3.0,2021,5,20,3
251,230,29784,"Antrag der Abgeordneten Detlev Spangenberg, Dr. Robby Schlund, Paul Viktor Podolay, Jörg Schneider, Uwe Witt, Marc Bernhard, Marcus Bühl, Udo Theodor Hemmelgarn, Jörn König, Jens Maier, Christoph Neumann, Dietmar Friedhoff, Nicole Höchst und der Fraktion der AfD",Realistische Corona-Strategie umsetzen  Nachhaltigen Schutz ermöglichen ,Auswärtiges | Bildung,Antwort,2.0,2021,5,20,2
253,230,29785,"Antrag der Abgeordneten Joana Cotar, Uwe Schulz, Dr. Michael Espendiller, Dr. Marc Jongen, Martin Erwin Renner, Dr. Götz Frömming, Thomas Ehrhorn, Marc Bernhard, Marcus Bühl, Siegbert Droese, Mariana Iris Harder-Kühnel, Waldemar Herdt, Jörn König, Christoph Neumann, Ulrich Oehme, Tobias Matthias Peterka, Dr. Dirk Spaniel, René Springer, Dr. Harald Weyel und der Fraktion der AfD",Ausstrahlung des Parlamentsfernsehens ausweiten ,KEIN THEMA,Unterrichtung,2.0,2021,5,20,1
254,230,29786,"Antrag der Abgeordneten Dr. Heiko Heßenkemper, Dr. Götz Frömming, Nicole Höchst, Dr. Michael Espendiller, Dr. Marc Jongen, Martin Reichardt, Armin- Paulus Hampel, Norbert Kleinwächter, Volker Münz, Tobias Matthias Peterka, Dietmar Friedhoff, Marc Bernhard, Marcus Bühl, Siegbert Droese, Udo Theodor Hemmelgarn, Jörn König, Jens Maier, Christoph Neumann und der Fraktion der AfD",Antisemitismus an den Schulen bekämpfen  Bundesweite Meldepflicht für antisemitische Vorfälle einführen ,Politische Bildung,Antrag,1.0,2021,5,20,1
255,230,29787,"Antrag der Abgeordneten Stefan Keuter, Albrecht Glaser, Franziska Gminder, Kay Gottschalk, Dr. Bruno Hollnagel, Marc Bernhard, Stephan Brandner, Jürgen Braun, Marcus Bühl, Joana Cotar, Siegbert Droese, Peter Felser, Dietmar Friedhoff, Dr. Götz Frömming, Armin-Paulus Hampel, Mariana Iris Harder- Kühnel, Dr. Roland Hartwig, Martin Hess, Dr. Heiko Heßenkemper, Karsten Hilse, Nicole Höchst, Martin Hohmann, Johannes Huber, Norbert Kleinwächter, Jörn König, Enrico Komning, Jens Maier, Dr. Lothar Maier, Dr. Birgit Malsack-Winkemann, Andreas Mrosek, Volker Münz, Sebastian Münzenmaier, Christoph Neumann, Jan Ralf Nolte, Ulrich Oehme, Tobias Matthias Peterka, Paul Viktor Podolay, Dr. Robby Schlund, Uwe Schulz, Thomas Seitz, Detlev Spangenberg, Dr. Dirk Spaniel, Dr. Harald Weyel, Dr. Christian Wirth und der Fraktion der AfD","Belegausgabepflicht abschaffen  Umwelt, Händler und Handwerk entlasten ",Besteuerungsverfahren,Antrag,1.0,2021,5,20,1
238,230,29776,"Antrag der Abgeordneten Joana Cotar, Dr. Michael Espendiller, Uwe Schulz, Nicole Höchst, Jörn König, Dr. Dirk Spaniel und der Fraktion der AfD",Aufbau und Vermittlung von Datenkompetenz beschleunigen ,Verkehr | Wirtschaft,Antwort,2.0,2021,5,20,1
228,230,29769,"Antrag der Abgeordneten Hansjörg Müller, Steffen Kotré, Dr. Heiko Heßenkemper, Enrico Komning, Tino Chrupalla, Leif-Erik Holm, Marc Bernhard, Siegbert Droese, Peter Felser, Mariana Iris Harder-Kühnel, Nicole Höchst, Stefan Keuter, Jörn König, Ulrich Oehme, Martin Reichardt, Uwe Schulz, Dr. Dirk Spaniel, Dr. Harald Weyel, Uwe Witt und der Fraktion der AfD",Green Deal zum Wohle der deutschen Wirtschaft beenden ,Klimaschutz,Antrag,1.0,2021,5,20,1
227,230,29768,"Antrag der Abgeordneten Ulrike Schielke-Ziesing, René Springer, Jürgen Pohl, Uwe Witt, Jörg Schneider, Martin Sichert, Norbert Kleinwächter, Marc Bernhard, Marcus Bühl, Siegbert Droese, Udo Theodor Hemmelgarn, Jörn König, Jens Maier, Christoph Neumann, Dietmar Friedhoff, Nicole Höchst und der Fraktion der AfD",Armutsbekämpfung bei Rentnern  Einführung eines 25-Prozent-Freibetrages in der Grundsicherung ,Arbeit und Soziales,Antrag,1.0,2021,5,20,1
224,230,29767,"Antrag der Abgeordneten Tabea Rößner, Luise Amtsberg, Canan Bayram, Katharina Dröge, Britta Haßelmann, Katja Keul, Sven-Christian Kindler, Renate Künast, Monika Lazar, Dr. Irene Mihalic, Claudia Müller, Dr. Konstantin von Notz, Filiz Polat, Dr. Manuela Rottmann, Corinna Rüffer, Stefan Schmidt, Wolfgang Wetzel und der Fraktion BÜNDNIS 90/DIE GRÜNEN",Umsetzung der europäischen Modernisierungsrichtlinie  Lücken im Verbraucherschutz schließen ,Recht und Verbraucherschutz,Antrag,4.0,2021,5,20,2
176,230,27760,"Antrag der Abgeordneten Torsten Herbst, Frank Sitta, Oliver Luksic, Bernd Reuther, Daniela Kluckert, Dr. Christian Jung, Grigorios Aggelidis, Renata Alt, Nicole Bauer, Jens Beeck, Sandra Bubendorfer-Licht, Dr. Jens Brandenburg (Rhein-Neckar), Dr. Marco Buschmann, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Katja Hessel, Dr. Gero Hocker, Dr. Christoph Hoffmann, Reinhard Houben, Ulla Ihnen, Olaf in der Beek, Carina Konrad, Michael Georg Link, Till Mansmann, Dr. Jürgen Martens, Alexander Müller, Dr. Martin Neumann, Christian Sauter, Frank Schäffler, Matthias Seestern-Pauly, Hermann Otto Solms, Bettina Stark-Watzinger, Katja Suding, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Nicole Westig und der Fraktion der FDP",Verlängerung der Hauptuntersuchungsintervalle für Oldtimer mit H−Kennzeichen ,Verkehr und digitale Infrastruktur,Antrag,2.0,2021,5,20,1
197,230,29439,"Antrag der Abgeordneten Katja Kipping, Matthias W. Birkwald, Susanne Ferschl, Doris Achelwilm, Simone Barrientos, Dr. Birke Bull-Bischoff, Anke Domscheit-Berg, Brigitte Freihold, Sylvia Gabelmann, Nicole Gohlke, Kerstin Kassner, Dr. Achim Kessler, Jan Korte, Jutta Krellmann, Pascal Meiser, Cornelia Möhring, Norbert Müller (Potsdam), Sören Pellmann, Dr. Petra Sitte, Jessica Tatti, Harald Weinberg, Katrin Werner, Sabine Zimmermann (Zwickau), Pia Zimmermann und der Fraktion DIE LINKE",Hartz IV überwinden  Sanktionsfreie Mindestsicherung einführen ,Arbeit und Soziales,Antrag,2.0,2021,5,20,1
200,230,29440,"Antrag der Abgeordneten Fabio De Masi, Stefan Liebich, Gökay Akbulut, Jörg Cezanne, Klaus Ernst, Dr. André Hahn, Ulla Jelpke, Jan Korte, Thomas Lutze, Pascal Meiser, Niema Movassat, Petra Pau, Martina Renner, Bernd Riexinger, Friedrich Straetmanns, Dr. Axel Troost, Alexander Ulrich, Dr. Sahra Wagenknecht und der Fraktion DIE LINKE",Interessenkonflikte in Bundesregierung und ihren Behörden bei Finanzgeschäften vermeiden ,Finanzmarkt,Antrag,2.0,2021,5,20,2
202,230,29741,"Antrag der Abgeordneten Katrin Helling-Plahr, Stephan Thomae, Grigorios Aggelidis, Renata Alt, Christine Aschenberg-Dugnus, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar) Mario Brandenburg (Südpfalz), Sandra Bubendorfer-Licht, Dr. Marco Buschmann, Hartmut Ebbing, Dr. Marcus Faber, Daniel Föst, Thomas Hacker, Reginald Hanke, Peter Heidt, Markus Herbrand, Dr. Gero Clemens Hocker, Manuel Höferlin, Dr. Christoph Hoffmann, Reinhard Houben, Ulla Ihnen, Olaf in der Beek, Gyde Jensen, Pascal Kober, Carina Konrad, Konstantin Kuhle, Ulrich Lechte, Dr. Jürgen Martens, Alexander Müller, Hagen Reinhold, Matthias Seestern-Pauly, Frank Sitta, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Dr. Marie-Agnes Strack-Zimmermann, Benjamin Strasser, Katja Suding, Manfred Todtenhausen, Gerald Ullrich, Johannes Vogel (Olpe), Katharina Willkomm und der Fraktion der FDP",Das Familienrecht an die Lebenswirklichkeiten anpassen ,Inneres,Antwort,2.0,2021,5,20,1
208,230,29746,"Antrag der Abgeordneten Michael Theurer, Grigorios Aggelidis, Renata Alt, Nicole Bauer, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Mario Brandenburg (Südpfalz), Dr. Marco Buschmann, Carl-Julius Cronenberg, Dr. Marcus Faber, Daniel Föst, Thomas Hacker, Peter Heidt, Katrin Helling- Plahr, Markus Herbrand, Torsten Herbst, Manuel Höferlin, Reinhard Houben, Olaf in der Beek, Gyde Jensen, Karsten Klein, Daniela Kluckert, Pascal Kober, Konstantin Kuhle, Michael Georg Link, Alexander Müller, Dr. h. c. Thomas Sattelberger, Frank Schäffler, Dr. Hermann Otto Solms, Benjamin Strasser, Katja Suding, Linda Teuteberg, Stephan Thomae, Manfred Todtenhausen, Dr. Andrew Ullmann, Sandra Weeser und der Fraktion der FDP","Wirtschaftliche Perspektive eröffnen, Energieversorgung sichern  Ukraine zum Partner einer Europäischen Wasserstoffunion machen ",KEIN THEMA,Unterrichtung,2.0,2021,5,20,1
210,230,29747,"Antrag der Abgeordneten Dr. Wieland Schinnenburg, Michael Theurer, Katrin Helling- Plahr, Grigorios Aggelidis, Renata Alt, Christine Aschenberg-Dugnus, Nicole Bauer, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Mario Brandenburg (Südpfalz), Dr. Marco Buschmann, Carl-Julius Cronenberg, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Markus Herbrand, Torsten Herbst, Katja Hessel, Dr. Gero Clemens Hocker, Reinhard Houben, Ulla Ihnen, Olaf in der Beek, Pascal Kober, Carina Konrad, Konstantin Kuhle, Ulrich Lechte, Dr. Martin Neumann, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Dr. Marie-Agnes Strack- Zimmermann, Benjamin Strasser, Linda Teuteberg, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Johannes Vogel (Olpe), Nicole Westig und der Fraktion der FDP",Psychische Gesundheit während und nach der COVID-19-Pandemie stärken ,COVID-19,Antrag,2.0,2021,5,20,1
213,230,29748,"Antrag der Abgeordneten Dr. Wieland Schinnenburg, Michael Theurer, Grigorios Aggelidis, Renata Alt, Nicole Bauer, Jens Beeck, Dr. Jens Brandenburg (Rhein-Neckar), Sandra Bubendorfer-Licht, Dr. Marco Buschmann, Carl-Julius Cronenberg, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Peter Heidt, Katrin Helling-Plahr, Markus Herbrand, Torsten Herbst, Dr. Gero Clemens Hocker, Ulla Ihnen, Olaf in der Beek, Pascal Kober, Carina Konrad, Konstantin Kuhle, Michael Georg Link, Dr. Jürgen Martens, Alexander Müller, Frank Müller- Rosentritt, Dr. Martin Neumann, Matthias Seestern-Pauly, Frank Sitta, Dr. Hermann Otto Solms, Bettina Stark-Watzinger, Dr. Marie-Agnes Strack- Zimmermann, Katja Suding, Stephan Thomae, Manfred Todtenhausen, Gerald Ullrich, Johannes Vogel (Olpe), Sandra Weeser, Nicole Westig und der Fraktion der FDP",Befugnisse während Gesundheitsnotlagen auf EU-Ebene demokratisch gestalten ,COVID-19,Antrag,2.0,2021,5,20,2
206,230,29745,"Antrag der Abgeordneten Jens Beeck, Dr. Andrew Ullmann, Alexander Graf Lambsdorff, Dr. Christoph Hoffmann, Olaf in der Beek, Grigorios Aggelidis, Renata Alt, Dr. Jens Brandenburg (Rhein-Neckar), Sandra Bubendorfer-Licht, Dr. Marco Buschmann, Hartmut Ebbing, Dr. Marcus Faber, Daniel Föst, Otto Fricke, Thomas Hacker, Reginald Hanke, Peter Heidt, Torsten Herbst, Dr. Gero Clemens Hocker, Reinhard Houben, Ulla Ihnen, Gyde Jensen, Daniela Kluckert, Pascal Kober, Konstantin Kuhle, Ulrich Lechte, Michael Georg Link, Till Mansmann, Frank Müller-Rosentritt, Dr. Wieland Schinnenburg, Matthias Seestern-Pauly, Frank Sitta, Dr. Hermann Otto Solms, Bettina Stark- Watzinger, Dr. Marie-Agnes Strack-Zimmermann, Benjamin Strasser, Katja Suding, Stephan Thomae, Gerald Ullrich, Sandra Weeser, Nicole Westig und der Fraktion der FDP",Abhängigkeitsverhältnisse durch Impfstoffdiplomatie verhindern ,Auswärtiges | Bildung,Antwort,2.0,2021,5,20,1
